player_name,Zone,Contest,FGA,FGM,FG_PCT
mason plumlee,Restricted Area (Layup),Heavy Contest,162,103,0.6358
mason plumlee,Restricted Area (Layup),Slight Contest,25,22,0.88
matt barnes,Above the Break 3,Heavy Contest,12,4,0.3333
matt barnes,Above the Break 3,Slight Contest,69,22,0.3188
matt barnes,Above the Break 3,Wide Open,102,42,0.4118
matt barnes,Corner 3,Heavy Contest,10,5,0.5
matt barnes,Corner 3,Slight Contest,18,9,0.5
matt barnes,Corner 3,Wide Open,41,11,0.2683
matt barnes,Free Throw / Short Range,Heavy Contest,95,39,0.4105
matt barnes,Free Throw / Short Range,Slight Contest,21,12,0.5714
matt barnes,Restricted Area (Layup),Heavy Contest,45,34,0.7556
matt bonner,Above the Break 3,Slight Contest,23,7,0.3043
matt bonner,Above the Break 3,Wide Open,65,25,0.3846
matt bonner,Corner 3,Wide Open,10,4,0.4
matt bonner,Free Throw / Short Range,Heavy Contest,55,25,0.4545
matt bonner,Free Throw / Short Range,Slight Contest,11,8,0.7273
matthew dellavedova,Above the Break 3,Slight Contest,25,8,0.32
matthew dellavedova,Above the Break 3,Wide Open,48,23,0.4792
matthew dellavedova,Corner 3,Slight Contest,13,3,0.2308
matthew dellavedova,Corner 3,Wide Open,17,6,0.3529
matthew dellavedova,Free Throw / Short Range,Heavy Contest,51,15,0.2941
matthew dellavedova,Free Throw / Short Range,Slight Contest,14,7,0.5
michael carter-williams,Above the Break 3,Heavy Contest,14,4,0.2857
michael carter-williams,Above the Break 3,Slight Contest,68,14,0.2059
michael carter-williams,Above the Break 3,Wide Open,38,13,0.3421
michael carter-williams,Free Throw / Short Range,Heavy Contest,296,122,0.4122
michael carter-williams,Free Throw / Short Range,Slight Contest,19,15,0.7895
michael carter-williams,Mid-Range,Heavy Contest,50,9,0.18
michael carter-williams,Mid-Range,Slight Contest,63,18,0.2857
michael carter-williams,Mid-Range,Wide Open,16,4,0.25
michael carter-williams,Restricted Area (Layup),Heavy Contest,67,41,0.6119
